,plate_forme,rating,nb_tokens,category_nps,category_numeric,adjs_counts,nouns_counts,pronouns_counts,prop_nouns_counts,adverbs_counts,verbs_counts,interjections_counts,symbols_counts
5525,CDISCOUNT,4,2,Promoteur,1,1,0,0,1,0,0,0,0
5526,CDISCOUNT,1,78,Détracteur,-1,3,10,6,3,5,15,0,0
5527,CDISCOUNT,1,79,Détracteur,-1,1,15,9,3,4,10,0,0
5528,CDISCOUNT,1,27,Détracteur,-1,3,5,0,2,2,4,0,0
5529,CDISCOUNT,2,76,Détracteur,-1,4,19,6,0,12,9,0,0
5530,CDISCOUNT,1,28,Détracteur,-1,3,8,0,1,1,5,0,0
5531,CDISCOUNT,3,48,Neutre,0,3,12,2,1,3,4,0,0
5532,CDISCOUNT,1,202,Détracteur,-1,11,32,12,4,13,20,0,0
5533,CDISCOUNT,5,12,Promoteur,1,2,4,0,0,0,2,0,0
5534,CDISCOUNT,4,11,Promoteur,1,1,1,3,0,1,2,0,0
5535,CDISCOUNT,2,42,Détracteur,-1,1,5,7,1,4,7,0,0
5536,CDISCOUNT,2,116,Détracteur,-1,8,15,9,2,8,15,0,0
5537,CDISCOUNT,4,5,Promoteur,1,1,2,0,0,0,0,0,0
5538,CDISCOUNT,4,2,Promoteur,1,1,1,0,0,0,0,0,0
5539,CDISCOUNT,5,52,Promoteur,1,4,11,6,0,3,4,0,0
5540,CDISCOUNT,1,306,Détracteur,-1,19,41,13,4,23,31,0,0
5541,CDISCOUNT,5,2,Promoteur,1,0,0,0,2,0,0,0,0
5542,CDISCOUNT,5,7,Promoteur,1,3,3,0,0,0,0,0,0
5543,CDISCOUNT,1,32,Détracteur,-1,0,5,6,0,3,6,0,0
5544,CDISCOUNT,5,3,Promoteur,1,0,0,0,0,1,1,0,0
5545,CDISCOUNT,4,2,Promoteur,1,1,0,0,0,1,0,0,0
5546,CDISCOUNT,5,3,Promoteur,1,2,0,0,0,0,0,0,0
5547,CDISCOUNT,5,2,Promoteur,1,0,0,0,1,1,0,0,0
5548,CDISCOUNT,5,13,Promoteur,1,0,1,2,1,3,2,0,0
5549,CDISCOUNT,5,6,Promoteur,1,0,1,0,0,2,0,0,0
5550,CDISCOUNT,5,7,Promoteur,1,2,4,0,0,0,0,0,0
5551,CDISCOUNT,5,6,Promoteur,1,0,1,0,1,0,1,0,0
5552,CDISCOUNT,5,21,Promoteur,1,1,4,4,0,2,3,0,0
5553,CDISCOUNT,1,71,Détracteur,-1,6,17,4,2,2,6,0,0
